"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","LB"
5801,"Magura",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",1.93200632085,0.09231747384,"Moderately Low"
5802,"Meherpur",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",1.48510272537,0.05913531701,"Low"
5803,"Narail",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",2.12948895801,0.08657831584,"Moderately Low"
5804,"Satkhira",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",12.3809392019,0.28598302162,"Low"
5821,"Habiganj",1000,3000,580,"Sylhet","Member State","NO",23,"Bangladesh",3.99302961772,0.23062199049,"Moderately Low"
5822,"Maulvibazar",1000,3000,580,"Sylhet","Member State","NO",23,"Bangladesh",3.42306435439,0.22749257423,"Moderately Low"
5823,"Sunamganj",1000,3000,580,"Sylhet","Member State","NO",23,"Bangladesh",4.4757798092,0.32626612013,"Moderately Low"
5824,"Sylhet",1000,3000,580,"Sylhet","Member State","NO",23,"Bangladesh",3.67562135937,0.31050461405,"Moderately Low"
5805,"Bogra",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",4.27328579477,0.26094902229,"Low"
5808,"Joypurhat",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",2.15108809554,0.08727977727,"Low"
5811,"Naogaon",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",4.59772010232,0.30863627073,"Low"
5812,"Natore",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",3.52949160681,0.16960407461,"Low"
5813,"Nawabganj",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",2.90797745545,0.14561113501,"Low"
5815,"Pabna",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",3.03008845716,0.21256966261,"Moderately Low"
5817,"Rajshahi",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",3.38505164884,0.21503922847,"Low"
5819,"Sirajganj",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",3.58847132385,0.22237674328,"Moderately Low"
5806,"Dinajpur",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",4.73786039766,0.30900045996,"Moderately Low"
5807,"Gaibandha",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",3.21390974141,0.19450234819,"Low"
5809,"Kurigram",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",3.49094335134,0.20028221978,"Moderately Low"
5810,"Lalmonirhat",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",3.15586812221,0.11150650897,"Moderately Low"
5814,"Nilphamari",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",2.64517267401,0.1482306632,"Moderately Low"
5816,"Panchagarh",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",3.15008273432,0.12499778034,"Moderately Low"
5818,"Rangpur",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",3.60474739852,0.20760896345,"Moderately Low"
5820,"Thakurgaon",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",2.82132310259,0.16211766199,"Moderately Low"
