"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BS_Modified"
70123,"South Goa",1990,3000,1490,"Goa","Member State","NO",115,"India",3.38324732865,0.16697445763,"Moderately Low"
17635,"Ahmadabad",1000,3000,1491,"Gujarat","Member State","NO",115,"India",9.5568247923,0.679144438,NA
17636,"Amreli",1000,3000,1491,"Gujarat","Member State","NO",115,"India",7.93259772072,0.63728247175,"Low"
17637,"Banas Kantha",2000,3000,1491,"Gujarat","Member State","NO",115,"India",7.56519697311,0.94394267773,"Low"
17638,"Bharuch",1998,3000,1491,"Gujarat","Member State","NO",115,"India",8.22454154118,0.46048309064,"Low"
17639,"Bhavnagar",1000,3000,1491,"Gujarat","Member State","NO",115,"India",12.3712782158,0.7048476686,"Low"
17640,"Gandhinagar",1000,3000,1491,"Gujarat","Member State","NO",115,"India",2.95391220002,0.15202343424,"Low"
17641,"Jamnagar",1000,3000,1491,"Gujarat","Member State","NO",115,"India",17.380598573,0.94563231677,"Low"
17642,"Junagadh",1998,3000,1491,"Gujarat","Member State","NO",115,"India",7.30102700296,0.7129121116,"Low"
17643,"Kachchh",1000,3000,1491,"Gujarat","Member State","NO",115,"India",55.3511578108,2.45596526833,"Low"
17644,"Kheda",1998,3000,1491,"Gujarat","Member State","NO",115,"India",4.56880283984,0.3505010106,"Low"
17645,"Mahesana",2000,3000,1491,"Gujarat","Member State","NO",115,"India",4.86210370301,0.38815692721,"Low"
17647,"Rajkot",1000,3000,1491,"Gujarat","Member State","NO",115,"India",10.6881272357,0.97663829508,"Low"
17648,"Sabar Kantha",1000,3000,1491,"Gujarat","Member State","NO",115,"India",5.69940854656,0.65848939409,"Low"
17649,"Surat",1000,3000,1491,"Gujarat","Member State","NO",115,"India",10.1549550666,0.64962424724,"Low"
17650,"Surendranagar",1000,3000,1491,"Gujarat","Member State","NO",115,"India",8.51853172051,0.91947983275,"Low"
17651,"The Dangs",1000,3000,1491,"Gujarat","Member State","NO",115,"India",1.87873727221,0.14847768237,"Low"
17652,"Vadodara",1000,3000,1491,"Gujarat","Member State","NO",115,"India",7.3514160014,0.67783810783,"Low"
17653,"Valsad",1998,3000,1491,"Gujarat","Member State","NO",115,"India",5.91227713428,0.26113131397,"Low"
70124,"Anand",1998,3000,1491,"Gujarat","Member State","NO",115,"India",3.66293293955,0.23703439492,"Low"
70125,"Dahod",1998,3000,1491,"Gujarat","Member State","NO",115,"India",4.68296158645,0.45979228108,"Low"
70126,"Narmada",1998,3000,1491,"Gujarat","Member State","NO",115,"India",3.27082222072,0.22418135969,"Low"
70127,"Navsari",1998,3000,1491,"Gujarat","Member State","NO",115,"India",5.80200668979,0.18148963898,"Low"
70128,"Panch Mahals",1998,3000,1491,"Gujarat","Member State","NO",115,"India",5.04432951591,0.3207179184,"Low"
70129,"Patan",2000,3000,1491,"Gujarat","Member State","NO",115,"India",6.0446307956,0.53176655457,"Low"
70130,"Porbandar",1998,3000,1491,"Gujarat","Member State","NO",115,"India",3.87719980874,0.20615813015,"Low"
17654,"Ambala",1994,3000,1492,"Haryana","Member State","NO",115,"India",2.95525345533,0.16447986829,"Low"
17655,"Bhiwani",1000,3000,1492,"Haryana","Member State","NO",115,"India",3.68374892944,0.42809300056,"Low"
17657,"Gurgaon",1000,3000,1492,"Haryana","Member State","NO",115,"India",3.91826217927,0.25275683675,"Low"
17658,"Hisar",1998,3000,1492,"Haryana","Member State","NO",115,"India",3.94379028868,0.38687867912,"Low"
17659,"Jind",1000,3000,1492,"Haryana","Member State","NO",115,"India",3.36808830302,0.25414946427,"Low"
17660,"Karnal",1990,3000,1492,"Haryana","Member State","NO",115,"India",2.77367141357,0.24093312613,"Low"
17661,"Kurukshetra",1990,3000,1492,"Haryana","Member State","NO",115,"India",2.743085594,0.17173882631,"Low"
17662,"Mahendragarh",1990,3000,1492,"Haryana","Member State","NO",115,"India",3.59342731073,0.17795886891,"Low"
17663,"Rohtak",1998,3000,1492,"Haryana","Member State","NO",115,"India",2.32474000215,0.15594200837,"Low"
17664,"Sirsa",1000,3000,1492,"Haryana","Member State","NO",115,"India",3.94633673396,0.39411277762,"Low"
17665,"Sonepat",1990,3000,1492,"Haryana","Member State","NO",115,"India",2.53085251373,0.20507618444,"Low"
70131,"Faridabad",1000,3000,1492,"Haryana","Member State","NO",115,"India",2.67967156557,0.19864908959,"Low"
70132,"Fatehabad",1998,3000,1492,"Haryana","Member State","NO",115,"India",2.94903140277,0.22344520701,"Low"
70133,"Jhajjar",1998,3000,1492,"Haryana","Member State","NO",115,"India",2.99464208155,0.1948346434,"Low"
70134,"Kaithal",1990,3000,1492,"Haryana","Member State","NO",115,"India",3.18507435051,0.21469533056,"Low"
70135,"Panchkula",1994,3000,1492,"Haryana","Member State","NO",115,"India",1.66900769624,0.06947552218,"Moderately Low"
70136,"Panipat",1990,3000,1492,"Haryana","Member State","NO",115,"India",1.71302777788,0.11376654408,"Low"
70137,"Rewari",1990,3000,1492,"Haryana","Member State","NO",115,"India",2.28031191339,0.11519026064,"Low"
70138,"Yamuna Nagar",1990,3000,1492,"Haryana","Member State","NO",115,"India",1.91009764588,0.12234225646,"Low"
17666,"Bilaspur",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",2.13032760261,0.11055500827,"Low"
17667,"Chamba",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",4.93132468105,0.58180255942,"Low"
17668,"Hamirpur",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",1.69328554465,0.10665424075,"Low"
17669,"Kangra",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",5.08368968488,0.54526104759,"Low"
17670,"Kinnaur",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",4.64215384547,0.60252476718,"Low"
17671,"Kullu",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",3.7849952314,0.52458042332,"Low"
17672,"Lahul and Spiti",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",7.94865428537,1.27857284817,"Low"
17673,"Mandi",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",2.97345364533,0.37537147398,"Low"
17674,"Shimla",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",5.08800031893,0.48569409369,"Low"
17675,"Sirmaur",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",3.06058675627,0.2643687987,"Low"
17676,"Solan",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",2.68999614086,0.1848126984,"Low"
17677,"Una",1000,3000,1493,"Himachal Pradesh","Member State","NO",115,"India",2.08506758737,0.14609729528,"Low"
17679,"Belgaum",1000,3000,1494,"Karnataka","Member State","NO",115,"India",9.3917775844,1.12651719012,"Moderately Low"
17680,"Bellary",1997,3000,1494,"Karnataka","Member State","NO",115,"India",6.83886584297,0.70833726276,"Moderately Low"
17681,"Bidar",1000,3000,1494,"Karnataka","Member State","NO",115,"India",4.6682529696,0.46341823497,"Low"
17682,"Bijapur",1997,3000,1494,"Karnataka","Member State","NO",115,"India",6.23599348468,0.88870998373,"Low"
17683,"Chikmagalur",1000,3000,1494,"Karnataka","Member State","NO",115,"India",4.97883865607,0.60002686276,"Moderate"
17685,"Dakshin Kannad",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.25483671603,0.37989663579,"Severe"
17686,"Dharwad",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.03747878022,0.35869636875,"Moderate"
17687,"Gulbarga",1000,3000,1494,"Karnataka","Member State","NO",115,"India",8.97881750526,1.37726305161,"Low"
17688,"Hassan",1000,3000,1494,"Karnataka","Member State","NO",115,"India",5.52801567818,0.56580026477,"Moderately Low"
17689,"Kodagu",1000,3000,1494,"Karnataka","Member State","NO",115,"India",3.89778200859,0.34039075826,"Moderate"
17690,"Kolar",1000,3000,1494,"Karnataka","Member State","NO",115,"India",6.82655062926,0.68428532451,"Low"
17691,"Mandya",1000,3000,1494,"Karnataka","Member State","NO",115,"India",4.42402086847,0.40978382627,"Moderately Low"
17692,"Mysore",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.51073934174,0.52312405994,"Moderate"
17693,"Raichur",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.85078126471,0.71255528495,"Low"
17694,"Shimoga",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.89260393244,0.64717143301,"Moderately Severe"
17695,"Tumkur",1000,3000,1494,"Karnataka","Member State","NO",115,"India",9.15524907447,0.88436941331,"Moderately Low"
17696,"Uttar Kannand",1000,3000,1494,"Karnataka","Member State","NO",115,"India",8.61203816888,0.86303448013,"Severe"
70157,"Bagalkot",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.77787617692,0.55382170824,"Low"
70158,"Bangalore Rural",1000,3000,1494,"Karnataka","Member State","NO",115,"India",7.17711543612,0.48393658535,"Moderately Low"
70159,"Bangalore Urban",1000,3000,1494,"Karnataka","Member State","NO",115,"India",2.77293836191,0.18151680426,"Moderately Low"
70160,"Chamrajnagar",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.05047545129,0.46920955668,"Moderately Low"
70161,"Chitradurga",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.78520554575,0.70566908087,"Moderately Low"
70162,"Davanagere",1997,3000,1494,"Karnataka","Member State","NO",115,"India",5.59315442439,0.55373562459,"Moderately Low"
70163,"Gadag",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.9027012758,0.389915233,"Moderately Low"
70164,"Haveri",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.07415605423,0.40237420454,"Moderate"
70165,"Koppal",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.85223438507,0.46808591345,"Moderately Low"
70166,"Udupi",1997,3000,1494,"Karnataka","Member State","NO",115,"India",4.47398736543,0.32477643514,"Severe"
17698,"Kannur",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.35924043141,0.23251883945,"Severe"
17699,"Ernakulam",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.65896924121,0.18937092797,"Moderately Severe"
17700,"Idukki",1000,3000,1495,"Kerala","Member State","NO",115,"India",4.86548578518,0.41132761411,"Moderate"
17701,"Kasaragod",1000,3000,1495,"Kerala","Member State","NO",115,"India",2.96116993915,0.16339230527,"Severe"
17702,"Kottayam",1000,3000,1495,"Kerala","Member State","NO",115,"India",2.51478772705,0.17582884613,"Moderately Severe"
17703,"Kozhikode",1000,3000,1495,"Kerala","Member State","NO",115,"India",2.50271494528,0.18863001497,"Low"
17704,"Malappuram",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.27615968605,0.28993551518,"Severe"
17705,"Palakkad",1000,3000,1495,"Kerala","Member State","NO",115,"India",4.49404356974,0.36966611957,"Moderately Severe"
17706,"Pattanamtitta",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.16094539493,0.21676916744,"Moderately Severe"
17707,"Kollam",1000,3000,1495,"Kerala","Member State","NO",115,"India",4.77243767144,0.19347346584,"Moderately Severe"
17708,"Thrissur",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.2965151674,0.24359407777,"Moderately Severe"
17709,"Thiruvananthapuram",1000,3000,1495,"Kerala","Member State","NO",115,"India",2.66098068371,0.16748867398,"Moderately Severe"
17710,"Wayanad",1000,3000,1495,"Kerala","Member State","NO",115,"India",2.36995866112,0.17595334372,NA
70298,"Alappuzha",1000,3000,1495,"Kerala","Member State","NO",115,"India",3.29402864428,0.1079469483,"Moderately Severe"
70167,"Kavaratti",1000,3000,1496,"Lakshadweep","Member State","NO",115,"India",1.55700119392,0.00270815329,NA
17758,"Akola",1997,3000,1498,"Maharashtra","Member State","NO",115,"India",5.0688758413,0.47822750757,"Low"
17759,"Amravati",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.12082260403,1.05993787898,"Low"
17761,"Bhandara",2000,3000,1498,"Maharashtra","Member State","NO",115,"India",5.97867809015,0.40876891434,"Low"
17762,"Buldana",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",6.13763477097,0.83167565783,"Low"
17763,"Chandrapur",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",5.97273892895,0.97687810025,"Low"
17764,"Dhule",1998,3000,1498,"Maharashtra","Member State","NO",115,"India",5.43866886252,0.62302975441,"Low"
17765,"Garhchiroli",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.32386763191,1.24661415317,"Low"
17767,"Jalgaon",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",6.83576546565,1.02017384564,"Low"
17769,"Kolhapur",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.16429536436,0.64776735509,"Moderately Low"
17770,"Latur",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",4.6071550186,0.61837846784,"Low"
17771,"Nagpur",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",5.45532822617,0.86332184306,"Low"
17772,"Nanded",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",9.38736904533,0.90912318153,"Low"
17773,"Nashik",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",7.70715914897,1.34096787754,"Low"
17774,"Osmanabad",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",6.82482777967,0.64480242846,"Low"
17776,"Pune",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.75242927675,1.33527723018,"Low"
17777,"Raigarh",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",11.2601005246,0.58960575824,"Moderately Low"
17778,"Ratnagiri",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",7.5232396745,0.72003930133,"Moderate"
17779,"Sindhudurg",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",7.42718012768,0.43566125387,"Moderate"
17780,"Sangli",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.25598608636,0.72465866448,"Moderately Low"
17781,"Satara",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",5.69976765576,0.89148415299,"Moderately Low"
17782,"Solapur",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",10.9728727907,1.26690159032,"Low"
17783,"Thane",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",10.2001008683,0.81175009795,"Low"
17784,"Wardha",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",4.35255593468,0.54736008902,"Low"
17785,"Yavatmal",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",8.38485643625,1.16822900008,"Low"
17786,"Aurangabad",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",6.77539118934,0.87135990892,"Low"
70178,"Ahmednagar",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",10.5519048913,1.38595754802,"Low"
70179,"Bid",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",7.75962073127,0.97886419858,"Low"
70180,"Gondiya",2000,3000,1498,"Maharashtra","Member State","NO",115,"India",4.47025408135,0.40312796971,"Low"
70181,"Hingoli",2000,3000,1498,"Maharashtra","Member State","NO",115,"India",4.42792556537,0.40349972772,"Low"
