"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BB"
5808,"Joypurhat",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",2.15108809554,0.08727977727,"Severe"
5811,"Naogaon",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",4.59772010232,0.30863627073,"Severe"
5812,"Natore",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",3.52949160681,0.16960407461,"Severe"
5813,"Nawabganj",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",2.90797745545,0.14561113501,"Severe"
5815,"Pabna",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",3.03008845716,0.21256966261,"Severe"
5817,"Rajshahi",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",3.38505164884,0.21503922847,"Severe"
5819,"Sirajganj",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",3.58847132385,0.22237674328,"Severe"
5806,"Dinajpur",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",4.73786039766,0.30900045996,"Severe"
5807,"Gaibandha",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",3.21390974141,0.19450234819,"Moderately Severe"
5809,"Kurigram",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",3.49094335134,0.20028221978,"Severe"
5810,"Lalmonirhat",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",3.15586812221,0.11150650897,"Severe"
5814,"Nilphamari",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",2.64517267401,0.1482306632,"Severe"
5816,"Panchagarh",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",3.15008273432,0.12499778034,"Severe"
5818,"Rangpur",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",3.60474739852,0.20760896345,"Severe"
5820,"Thakurgaon",1000,3000,61363,"Rangpur","Member State","NO",23,"Bangladesh",2.82132310259,0.16211766199,"Severe"
