"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","LB"
5778,"Dhaka",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",3.22574930953,0.130020260596,"[0,3.56]"
5779,"Faridpur",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",3.35096007564,0.179759579714,"(3.56,7.13]"
5780,"Gazipur",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",2.45606610135,0.156614079965,"[0,3.56]"
5781,"Gopalganj",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",2.82087445543,0.12934066338,"(3.56,7.13]"
5782,"Jamalpur",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",3.5941660031,0.183377047318,"[0,3.56]"
5783,"Kishoreganj",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",3.45902551298,0.227700104063,"(3.56,7.13]"
5784,"Madaripur",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",2.62827320526,0.101458060051,"[0,3.56]"
5785,"Manikganj",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",2.50247885886,0.123623159256,"[0,3.56]"
5786,"Munshiganj",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",1.88170575562,0.0836575491936,"[0,3.56]"
5787,"Mymensingh",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",5.22642310918,0.386075142017,"[0,3.56]"
5788,"Narayanganj",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",1.90177516055,0.0671546110353,"[0,3.56]"
5789,"Narsingdi",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",2.15553223861,0.103402451298,"(3.56,7.13]"
5790,"Netrakona",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",4.23768376617,0.249309355058,"[0,3.56]"
5791,"Rajbari",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",2.05777839269,0.100851126806,"(3.56,7.13]"
5792,"Shariatpur",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",1.98850435793,0.109915933336,"[0,3.56]"
5793,"Sherpur",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",1.86477757862,0.117431528411,"(3.56,7.13]"
5794,"Tangail",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",3.71720930682,0.299153195501,"(3.56,7.13]"
5795,"Bagerhat",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",13.7918135556,0.32002771964,"[0,3.56]"
5796,"Chuadanga",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",2.10925257981,0.0995022423511,"[0,3.56]"
5797,"Jessore",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",4.10268497206,0.22471916646,"(3.56,7.13]"
5798,"Jhenaidah",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",3.4632953975,0.172984700109,"[0,3.56]"
5799,"Khulna",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",15.3352769818,0.312156770686,"[0,3.56]"
5800,"Kushtia",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",3.15129560859,0.147701537139,"[0,3.56]"
5801,"Magura",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",1.93200632085,0.0923174738428,"(3.56,7.13]"
5802,"Meherpur",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",1.48510272537,0.0591353170096,"[0,3.56]"
5803,"Narail",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",2.12948895801,0.0865783158411,"(3.56,7.13]"
5804,"Satkhira",1000,3000,578,"Khulna","Member State","NO",23,"Bangladesh",12.3809392019,0.285983021618,"[0,3.56]"
5821,"Habiganj",1000,3000,580,"Sylhet","Member State","NO",23,"Bangladesh",3.99302961772,0.230621990485,"(3.56,7.13]"
5822,"Maulvibazar",1000,3000,580,"Sylhet","Member State","NO",23,"Bangladesh",3.42306435439,0.227492574228,"(3.56,7.13]"
5823,"Sunamganj",1000,3000,580,"Sylhet","Member State","NO",23,"Bangladesh",4.4757798092,0.32626612013,"(3.56,7.13]"
5824,"Sylhet",1000,3000,580,"Sylhet","Member State","NO",23,"Bangladesh",3.67562135937,0.310504614045,"(3.56,7.13]"
5805,"Bogra",1000,3000,61362,"Rajshahi","Member State","NO",23,"Bangladesh",4.27328579477,0.260949022293,"[0,3.56]"
