"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BB"
70089,"Jorhat",1000,3000,1487,"Assam","Member State","NO",115,"India",3.5499546061,0.257570460429,"(2.22e+03,2.78e+03]"
70090,"Kokrajhar",1000,3000,1487,"Assam","Member State","NO",115,"India",3.60938683158,0.301098429212,"(2.22e+03,2.78e+03]"
70091,"Lakhimpur",1000,3000,1487,"Assam","Member State","NO",115,"India",2.98711826475,0.262426868113,"(2.22e+03,2.78e+03]"
70092,"Marigaon",1000,3000,1487,"Assam","Member State","NO",115,"India",1.91497031198,0.140406954358,"(2.22e+03,2.78e+03]"
70093,"Tinsukia",1000,3000,1487,"Assam","Member State","NO",115,"India",3.68064362095,0.346677442011,"(2.22e+03,2.78e+03]"
17633,"Delhi",1000,3000,1489,"Delhi","Member State","NO",115,"India",2.06443050934,0.138635096676,"(555,1.11e+03]"
70122,"North Goa",1990,3000,1490,"Goa","Member State","NO",115,"India",3.52983789883,0.142126664472,"(2.22e+03,2.78e+03]"
70123,"South Goa",1990,3000,1490,"Goa","Member State","NO",115,"India",3.38324732865,0.166974457632,"(2.22e+03,2.78e+03]"
17635,"Ahmadabad",1000,3000,1491,"Gujarat","Member State","NO",115,"India",9.5568247923,0.679144437999,"[0,555]"
17636,"Amreli",1000,3000,1491,"Gujarat","Member State","NO",115,"India",7.93259772072,0.637282471753,"(1.11e+03,1.67e+03]"
17637,"Banas Kantha",2000,3000,1491,"Gujarat","Member State","NO",115,"India",7.56519697311,0.943942677726,"[0,555]"
17638,"Bharuch",1998,3000,1491,"Gujarat","Member State","NO",115,"India",8.22454154118,0.460483090639,"(555,1.11e+03]"
17639,"Bhavnagar",1000,3000,1491,"Gujarat","Member State","NO",115,"India",12.3712782158,0.704847668601,"[0,555]"
17640,"Gandhinagar",1000,3000,1491,"Gujarat","Member State","NO",115,"India",2.95391220002,0.152023434237,"(555,1.11e+03]"
17641,"Jamnagar",1000,3000,1491,"Gujarat","Member State","NO",115,"India",17.380598573,0.945632316769,"(1.11e+03,1.67e+03]"
17642,"Junagadh",1998,3000,1491,"Gujarat","Member State","NO",115,"India",7.30102700296,0.712912111597,"(1.11e+03,1.67e+03]"
17643,"Kachchh",1000,3000,1491,"Gujarat","Member State","NO",115,"India",55.3511578108,2.45596526833,"[0,555]"
